Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
World,WLD,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,74,85.3,98.8,76.2,92.3,110.3,111.6,113.4,114,100,96.9,107.4,118.4,115.5,106.8,134.9,153.4,145.1,148.1,
World,WLD,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,3.525604215,3.618827045,3.596305057,3.647935111,4.412567613,4.241287487,4.063804235,3.934435244,3.9305801,3.960883926,3.83084666,3.521723045,3.526492919,3.560204519,4.109075286,3.743222704,3.700629293,3.91371209,3.417378609,3.685220549,3.870468365,3.205121764,3.034301468,2.791363101,2.881065685,2.916356011,2.343175461,2.031253309,1.856829937,1.969735336,1.963580694,1.779666742,1.649109923,1.531460907,1.460768678,1.441226298,1.563772771,1.601073388,1.425192838,1.416248513,1.566445575,1.599826982,1.528771957,1.64115169,1.76953024,1.952240576,2.065867988,2.105431406,2.401191606,2.144460031,2.304587592,2.626691157,2.677276001,2.598089659,2.527501781,2.028811467,1.873120551,1.983038426,2.120912077,2.023816922,1.950347411,2.047193647,2.182163674,2.152619403,,
World,WLD,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,0.314801063,0.344032896,0.350533124,0.322705922,0.303862488,0.300728281,0.289657088,0.290625664,0.26721314,0.234389116,0.227767808,0.229260281,0.24785776,0.272473942,0.204314001,0.20737806,0.234603597,0.196992106,0.205027286,0.192016267,0.174429011,0.26307782,0.353724499,0.368491031,0.393294252,0.435487053,0.421496926,0.464721184,0.467143309,0.469087776,0.440810843,0.445902046,0.544723114,0.758608407,1.097666678,1.183029049,1.178356871,1.147511649,1.120315116,1.037526603,1.112211404,1.156814222,1.308106954,1.439549017,1.527051627,1.62107906,1.722272645,2.004126211,2.272956118,2.012332714,2.045092167,2.199386063,2.314197227,2.254174431,2.183086129,2.008965722,1.941242636,2.04030081,2.085687736,2.204325972,2.16385176,2.324979344,2.35490533,2.418047238,,
World,WLD,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1.29532E+11,1.34574E+11,1.419E+11,1.54496E+11,1.72974E+11,1.88141E+11,2.06976E+11,2.16997E+11,2.40268E+11,2.72649E+11,3.13308E+11,3.49172E+11,4.11405E+11,5.66186E+11,8.27705E+11,8.65631E+11,9.77651E+11,1.11856E+12,1.29705E+12,1.62587E+12,1.99856E+12,1.99513E+12,1.86249E+12,1.80671E+12,1.9375E+12,1.9532E+12,2.13616E+12,2.50502E+12,2.88268E+12,3.12205E+12,3.53281E+12,3.65089E+12,3.9077E+12,3.86398E+12,4.3967E+12,5.22817E+12,5.50318E+12,5.70398E+12,5.64222E+12,5.87648E+12,6.6729E+12,6.42966E+12,6.68048E+12,7.79895E+12,9.50579E+12,1.08458E+13,1.24388E+13,1.43499E+13,1.66092E+13,1.282E+13,1.55085E+13,1.85075E+13,1.87353E+13,1.90457E+13,1.91348E+13,1.67814E+13,1.6257E+13,1.80261E+13,1.98739E+13,1.93865E+13,1.79323E+13,2.26463E+13,2.57571E+13,2.43779E+13,2.49137E+13,2.66942E+13
World,WLD,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,4.62448567,4.76281161,4.815023799,4.820195145,5.065660039,5.596245879,5.428961031,4.89739081,4.692627282,5.781109133,5.942916666,6.036346945,6.456582815,7.556980888,5.99929317,6.642026386,5.959506024,6.574841584,6.933511017,7.598561204,8.148545518,8.322697526,8.467917652,8.326008517,9.248221348,9.46545547,9.405696682,9.94124453,9.901448126,9.693907095,9.296271199,9.245860302,8.904553315,8.368833878,8.507432885,8.34081895,8.018064637,8.123214194,10.85704706,10.45683631,9.03619786,9.047277843,9.228914938,9.418523395
World,WLD,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,11.42281898,10.39013466,9.930838512,9.264641301,8.993983555,7.760380384,7.360989142,7.196195486,6.535249714,6.155892604,5.928176981,6.275052217,4.954852984,4.219597545,4.716607712,4.829500906,4.41688009,4.310247937,3.752513812,3.350065084,3.232492096,3.411908313,4.066965865,3.641949402,3.630130322,4.106313795,,,3.241129845,2.827214025,3.004613702,2.764522021,3.030325324,3.145926685,2.787275138,2.708536794,2.438337508,2.29219914,2.256678945,2.164802177,2.075950357,1.993428748,1.92683486,1.786669329,1.714004189,1.653609867,1.524802702,1.481709953,1.634040753,1.728459531,1.594667325,1.568969462,1.51410043,1.556199061,1.551636143,1.533111058,1.48620688,1.384427113,1.354183866,1.402822514,1.328003759,1.18695086,1.206937772,
World,WLD,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,81.7,86.8,88.7,77.5,87.5,92,94,96.4,98.3,100,100.7,105.5,108.9,108.9,103.2,113.6,116.4,114.2,117.2,
