source_file,year,objective,donor,recipient_scope,sector_scope,allocable_scope,marker,amount_type,unit,principal,significant,screened_not_targeted,not_screened,climate_targeted_total_usd_millions_2019,all_screened_total_usd_millions_2019
2015Mitigation.xls,2015,Mitigation,United States,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",372.370535,268.395708,28244.101115,,640.766243,28884.867358000003
2015Mitigation.xls,2015,Mitigation,EU Institutions,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",433.795116,1933.175578,11685.827789,5130.72577,2366.970694,19183.524253
2015Mitigation.xls,2015,Mitigation,Data extracted on 16 Jun 2021 02:47 UTC (GMT) from OECD.Stat,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",,,,,,
2016Adaptation.xls,2016,Adaptation,"DAC members, Total","Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",4531.252506,10798.133094,105779.45081,4410.419582,15329.385600000001,125519.25599199999
2016Adaptation.xls,2016,Adaptation,Australia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",41.710574,348.705771,1468.862271,275.727743,390.41634500000004,2135.006359
2016Adaptation.xls,2016,Adaptation,Austria,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",5.952177,20.99374,260.101382,54.403697,26.945916999999998,341.45099600000003
2016Adaptation.xls,2016,Adaptation,Belgium,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",11.54157,209.325957,731.591782,4.657375,220.867527,957.116684
2016Adaptation.xls,2016,Adaptation,Canada,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",158.412987,375.131627,3027.97831,,533.5446139999999,3561.522924
2016Adaptation.xls,2016,Adaptation,Czech Republic,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",0.712795,3.321378,26.2532,24.489697,4.034173,54.777069999999995
2016Adaptation.xls,2016,Adaptation,Denmark,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",15.665615,70.011546,869.854002,122.15188,85.677161,1077.683043
2016Adaptation.xls,2016,Adaptation,Finland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",1.650709,27.782536,285.311135,2.998382,29.433245,317.74276199999997
2016Adaptation.xls,2016,Adaptation,France,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",1107.212972,16.796262,4226.833302,1340.688569,1124.009234,6691.531105
2016Adaptation.xls,2016,Adaptation,Germany,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",548.568905,2015.118652,13844.457309,1052.401628,2563.687557,17460.546494
2016Adaptation.xls,2016,Adaptation,Greece,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,0.973173,2.355484,8.107676,0.973173,11.436333
2016Adaptation.xls,2016,Adaptation,Hungary,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,48.074773,,48.074773
2016Adaptation.xls,2016,Adaptation,Iceland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",0.774066,9.243466,12.925929,7.509624,10.017532,30.453084999999998
2016Adaptation.xls,2016,Adaptation,Ireland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",45.46479,45.792443,171.383375,149.421904,91.257233,412.06251199999997
2016Adaptation.xls,2016,Adaptation,Italy,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",20.26349,48.283071,578.978399,74.568404,68.546561,722.093364
2016Adaptation.xls,2016,Adaptation,Japan,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",179.03162,1632.529894,17090.239712,809.956388,1811.561514,19711.757614
2016Adaptation.xls,2016,Adaptation,Korea,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",21.789988,215.955252,2137.797216,3.808317,237.74524,2379.350773
2016Adaptation.xls,2016,Adaptation,Luxembourg,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",2.603901,30.036572,245.584714,,32.640473,278.225187
