"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651,0.556237055544651
"ALB","Albania",0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613,0.521241129814613
"DZA","Algeria",0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883,0.493205022512883
"AND","Andorra",0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611,0.3720191799611
"AGO","Angola",0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377,0.588307105682377
"ATG","Antigua and Barbuda",0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159,0.539794240496159
"ARG","Argentina",0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017,0.513842199485017
"ARM","Armenia",0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028,0.460149693250028
"AUS","Australia",0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454,0.448714449855454
"AUT","Austria",0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572,0.445854586846572
"AZE","Azerbaijan",0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946,0.479217898748946
"BHS","Bahamas",0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623,0.581062930437623
"BHR","Bahrain",0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855,0.584439060274855
"BGD","Bangladesh",0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425,0.567368573027425
"BRB","Barbados",0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425,0.467153540947425
